"","ISO.3166.1.country.code","FIPS.5.2.subdivision.code","GNS.FD","GNS.UFI","ISO.639.1.language.code","language.script","name","latitude","longitude"
"36207","GR","55","PPLA2",-822134,"ell","latin","Lechainá","37.933333","21.266667"
"52250","ID","18","ADM4",11593492,"ind","latin","Olafulihaa","-10.6523","123.2364"
"46461","ID","8","ADM4",10317864,"ind","latin","Balongtani","-7.5527","112.7453"
"132775","US","5","PPL",NA,"en","english","South Ozark","35.480363","-93.83103"
"186706","US","24","PPL",NA,"en","english","Summit Chase","39.3859396","-76.677471"
"226417","US","36","PPL",NA,"en","english","Lanesville","42.1278673","-74.2629234"
"9789","CA","7","PPL",-568358,"en","english","Woods Harbour","43.527302","-65.731495"
"128194","US","1","PPL",NA,"en","english","Asbury","33.2137293","-87.4977826"
"228474","US","39","PPL",NA,"en","english","Fernell Heights","39.1117278","-84.2888263"
"135868","US","4","PPL",NA,"en","english","Stonegate Crossing","33.3319931","-111.8376393"
"185966","US","24","PPL",NA,"en","english","Thomas Town","38.9170579","-75.9282708"
"42652","ID","30","ADM4",6377419,"ind","latin","Kerticala","-6.562778","108.275556"
"59965","ID","18","PPLA4",10897898,"ind","latin","Weerame","-9.5418","119.2876"
"260956","US","47","PPL",NA,"en","english","Woods","35.8456223","-85.9458208"
"49839","ID","18","PPLA4",11607102,"ind","latin","Nunutba","-10.2183","123.6274"
"143096","US","8","PPL",NA,"en","english","Stratton","38.7477661","-105.1499801"
"211307","US","37","PPL",NA,"en","english","Beulaville","34.9237763","-77.7738667"
"56814","ID","7","ADM4",10192166,"ind","latin","Rembul","-7.0756","109.2985"
"207738","US","37","PPL",NA,"en","english","Florence","36.0254144","-79.9589264"
"78255","LA","20","PPL",-2661968,"lo","latin","Ban Salang","16.766667","106.166667"
"147663","US","12","PPL",NA,"en","english","Pompano Beach Highlands","26.282858","-80.1069882"
"125932","US","1","PPL",NA,"en","english","Country Club Village","30.6943566","-88.1647246"
"139486","US","6","PPL",NA,"en","english","McManus","38.7990704","-120.5340914"
"55438","ID","7","ADM4",10152541,"ind","latin","Ampelgading","-6.9248","109.5003"
"7707","CM","13","PPL",-3146156,"en","english","Bapouli","8.916667","13.883333"
"235931","US","41","PPL",NA,"en","english","Maplewood","45.4698405","-122.7300967"
"73332","IT","4","ADM2",-111460,"it","latin","Benevento","41.25","14.283333"
"131316","US","5","PPL",NA,"en","english","Island","35.4164773","-94.1279838"
"173541","US","21","PPL",NA,"en","english","Bethany","38.0984033","-85.8721856"
"128079","US","1","PPL",NA,"en","english","Verlie","33.2131711","-86.8019324"
"287048","US","55","PPL",NA,"en","english","Lehigh","45.4410718","-91.5509973"
"82463","LY","68","ADM1",-3163051,"ara","arabic","الزاوية","32.666667","12.58333"
"35841","GR","64","PPLA2",-829591,"ell","latin","Tríkala","39.555278","21.7675"
"151320","US","12","PPL",NA,"en","english","Kingsborough Gardens","28.1292","-82.483"
"183403","US","25","PPL",NA,"en","english","Pocasset Station","41.6934395","-70.6153086"
"182978","US","25","PPL",NA,"en","english","Harbor View","41.6292712","-70.8925372"
"236917","US","42","PPL",NA,"en","english","Beechcliff","40.4464574","-80.1931138"
"68031","ID","8","ADM4",10205601,"ind","latin","Klagensrampat","-7.0203","112.26"
"47010","ID","8","ADM4",10516021,"ind","latin","Randugading","-8.0492","112.6756"
"186054","US","24","PPL",NA,"en","english","Watervale","39.5284405","-76.3727385"
"40679","ID","30","ADM4",6411728,"ind","latin","Cimara","-6.826389","107.984444"
"81112","LR","9","PPL",-2131278,"en","latin","Dumpa","6.809167","-8.88"
"206730","US","30","PPL",NA,"en","english","Dewey","45.777148","-112.8550332"
"99662","RU","61","PPLA2",-3021421,"ru","latin","Tselina","46.53381","41.032841"
"125428","US","2","PPL",NA,"en","english","Aklut","60.2","-162.25"
"169806","US","18","PPL",NA,"en","english","McKinley","38.7447765","-86.2105384"
"28860","GH","","PPL",-2072345,"en","latin","Dzave","6.301442",".582587"
"205970","US","28","PPL",NA,"en","english","Baird","33.4251192","-90.583423"
"10914","CV","13","PPLA",-1313463,"pt","latin","Porto dos Mosteiros","15.033333","-24.333333"
"85740","FM","2","PPLL",-3739557,"en","latin","Alaujo","6.829167","158.152778"
